[DEBUG] 2020-12-08 19:21:43.250 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-12-08 19:21:43.279 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-12-08 19:21:43.304 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-12-08 19:21:43.543 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-12-08 19:21:43.549 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-12-08 19:21:44.123 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-12-08 19:21:44.124 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-12-08 19:21:44.152 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-12-08 19:21:44.988 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-12-08 19:21:45.061 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-12-08 19:21:45.064 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-12-08 19:21:45.088 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-12-08 19:21:45.169 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1e530163
[DEBUG] 2020-12-08 19:21:45.169 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@1e530163
[DEBUG] 2020-12-08 19:21:45.169 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@1e530163
[DEBUG] 2020-12-08 19:21:45.170 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@4088741b
[DEBUG] 2020-12-08 19:21:45.171 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@205bed61
[DEBUG] 2020-12-08 19:21:45.171 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@7c2b58c0
[DEBUG] 2020-12-08 19:21:45.179 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@23f3dbf0
[DEBUG] 2020-12-08 19:21:45.180 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@23f3dbf0
[DEBUG] 2020-12-08 19:21:45.180 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@23f3dbf0
[DEBUG] 2020-12-08 19:21:45.183 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@20a05b32
[DEBUG] 2020-12-08 19:21:45.184 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@20a05b32
[DEBUG] 2020-12-08 19:21:45.184 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@20a05b32
[DEBUG] 2020-12-08 19:21:45.185 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@763cf5b9
[DEBUG] 2020-12-08 19:21:45.186 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@763cf5b9
[DEBUG] 2020-12-08 19:21:45.188 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@763cf5b9
[DEBUG] 2020-12-08 19:21:45.192 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@3c35c345
[DEBUG] 2020-12-08 19:21:45.192 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@3c35c345
[DEBUG] 2020-12-08 19:21:45.192 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@3c35c345
[DEBUG] 2020-12-08 19:21:45.196 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@69a2b3b6
[DEBUG] 2020-12-08 19:21:45.196 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@69a2b3b6
[DEBUG] 2020-12-08 19:21:45.196 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@69a2b3b6
[DEBUG] 2020-12-08 19:21:45.197 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@46731692
[DEBUG] 2020-12-08 19:21:45.198 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@46731692
[DEBUG] 2020-12-08 19:21:45.198 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@46731692
[DEBUG] 2020-12-08 19:21:45.200 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@151ef57f
[DEBUG] 2020-12-08 19:21:45.204 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@151ef57f
[DEBUG] 2020-12-08 19:21:45.208 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@151ef57f
[DEBUG] 2020-12-08 19:21:45.212 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@497aec8c
