[DEBUG] 2020-10-11 13:44:52.471 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-10-11 13:44:52.487 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-10-11 13:44:52.503 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-10-11 13:44:52.717 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-10-11 13:44:52.723 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-10-11 13:44:53.314 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-10-11 13:44:53.316 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-10-11 13:44:53.337 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-10-11 13:44:54.082 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-10-11 13:44:54.137 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-10-11 13:44:54.140 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-10-11 13:44:54.180 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-10-11 13:44:54.259 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@39fa8ad2
[DEBUG] 2020-10-11 13:44:54.262 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@39fa8ad2
[DEBUG] 2020-10-11 13:44:54.262 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@39fa8ad2
[DEBUG] 2020-10-11 13:44:54.262 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@6137cf6e
[DEBUG] 2020-10-11 13:44:54.263 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@33a3c44a
[DEBUG] 2020-10-11 13:44:54.266 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@93f432e
[DEBUG] 2020-10-11 13:44:54.272 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@58cf8f94
[DEBUG] 2020-10-11 13:44:54.275 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@58cf8f94
[DEBUG] 2020-10-11 13:44:54.275 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@58cf8f94
[DEBUG] 2020-10-11 13:44:54.277 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@fabb651
[DEBUG] 2020-10-11 13:44:54.277 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@fabb651
[DEBUG] 2020-10-11 13:44:54.277 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@fabb651
[DEBUG] 2020-10-11 13:44:54.279 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3872bc37
[DEBUG] 2020-10-11 13:44:54.290 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3872bc37
[DEBUG] 2020-10-11 13:44:54.292 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3872bc37
[DEBUG] 2020-10-11 13:44:54.293 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@6c518474
[DEBUG] 2020-10-11 13:44:54.294 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@6c518474
[DEBUG] 2020-10-11 13:44:54.294 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@6c518474
[DEBUG] 2020-10-11 13:44:54.297 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@9e2ad91
[DEBUG] 2020-10-11 13:44:54.297 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@9e2ad91
[DEBUG] 2020-10-11 13:44:54.299 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@9e2ad91
[DEBUG] 2020-10-11 13:44:54.300 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@74dbb1ee
[DEBUG] 2020-10-11 13:44:54.303 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@74dbb1ee
[DEBUG] 2020-10-11 13:44:54.304 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@74dbb1ee
[DEBUG] 2020-10-11 13:44:54.307 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@618ad2aa
[DEBUG] 2020-10-11 13:44:54.308 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@618ad2aa
[DEBUG] 2020-10-11 13:44:54.308 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@618ad2aa
