[DEBUG] 2020-10-06 17:06:44.777 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-10-06 17:06:44.812 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-10-06 17:06:44.826 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-10-06 17:06:45.225 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-10-06 17:06:45.241 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-10-06 17:06:46.021 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-10-06 17:06:46.032 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-10-06 17:06:46.057 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-10-06 17:06:47.220 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-10-06 17:06:47.304 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-10-06 17:06:47.309 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-10-06 17:06:47.355 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-10-06 17:06:47.433 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@58065f0c
[DEBUG] 2020-10-06 17:06:47.436 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@58065f0c
[DEBUG] 2020-10-06 17:06:47.436 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@58065f0c
[DEBUG] 2020-10-06 17:06:47.437 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@726a6b94
[DEBUG] 2020-10-06 17:06:47.438 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@1ee29c84
[DEBUG] 2020-10-06 17:06:47.438 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@69ce2f62
[DEBUG] 2020-10-06 17:06:47.442 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@720653c2
[DEBUG] 2020-10-06 17:06:47.442 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@720653c2
[DEBUG] 2020-10-06 17:06:47.448 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@720653c2
[DEBUG] 2020-10-06 17:06:47.450 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@4fe01803
[DEBUG] 2020-10-06 17:06:47.452 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@4fe01803
[DEBUG] 2020-10-06 17:06:47.452 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@4fe01803
[DEBUG] 2020-10-06 17:06:47.456 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@599f571f
[DEBUG] 2020-10-06 17:06:47.456 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@599f571f
[DEBUG] 2020-10-06 17:06:47.456 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@599f571f
[DEBUG] 2020-10-06 17:06:47.458 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@65327f5
[DEBUG] 2020-10-06 17:06:47.459 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@65327f5
[DEBUG] 2020-10-06 17:06:47.459 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@65327f5
[DEBUG] 2020-10-06 17:06:47.461 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@349d0836
[DEBUG] 2020-10-06 17:06:47.461 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@349d0836
[DEBUG] 2020-10-06 17:06:47.462 [main] BasicTypeRegistry - Adding type registration java.lang.Long -> org.hibernate.type.LongType@349d0836
[DEBUG] 2020-10-06 17:06:47.463 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@4917d36b
[DEBUG] 2020-10-06 17:06:47.464 [main] BasicTypeRegistry - Adding type registration float -> org.hibernate.type.FloatType@4917d36b
[DEBUG] 2020-10-06 17:06:47.464 [main] BasicTypeRegistry - Adding type registration java.lang.Float -> org.hibernate.type.FloatType@4917d36b
[DEBUG] 2020-10-06 17:06:47.465 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4905c46b
[DEBUG] 2020-10-06 17:06:47.465 [main] BasicTypeRegistry - Adding type registration double -> org.hibernate.type.DoubleType@4905c46b
[DEBUG] 2020-10-06 17:06:47.466 [main] BasicTypeRegistry - Adding type registration java.lang.Double -> org.hibernate.type.DoubleType@4905c46b
[DEBUG] 2020-10-06 17:06:47.467 [main] BasicTypeRegistry - Adding type registration big_decimal -> org.hibernate.type.BigDecimalType@693e4d19
[DEBUG] 2020-10-06 17:06:47.467 [main] BasicTypeRegistry - Adding type registration java.math.BigDecimal -> org.hibernate.type.BigDecimalType@693e4d19
[DEBUG] 2020-10-06 17:06:47.469 [main] BasicTypeRegistry - Adding type registration big_integer -> org.hibernate.type.BigIntegerType@57bd802b
[DEBUG] 2020-10-06 17:06:47.470 [main] BasicTypeRegistry - Adding type registration java.math.BigInteger -> org.hibernate.type.BigIntegerType@57bd802b
[DEBUG] 2020-10-06 17:06:47.471 [main] BasicTypeRegistry - Adding type registration string -> org.hibernate.type.StringType@27068a50
[DEBUG] 2020-10-06 17:06:47.471 [main] BasicTypeRegistry - Adding type registration java.lang.String -> org.hibernate.type.StringType@27068a50
[DEBUG] 2020-10-06 17:06:47.472 [main] BasicTypeRegistry - Adding type registration nstring -> org.hibernate.type.StringNVarcharType@48bfb884
[DEBUG] 2020-10-06 17:06:47.472 [main] BasicTypeRegistry - Adding type registration ncharacter -> org.hibernate.type.CharacterNCharType@2e52fb3e
[DEBUG] 2020-10-06 17:06:47.474 [main] BasicTypeRegistry - Adding type registration url -> org.hibernate.type.UrlType@bd2f5a9
[DEBUG] 2020-10-06 17:06:47.475 [main] BasicTypeRegistry - Adding type registration java.net.URL -> org.hibernate.type.UrlType@bd2f5a9
[DEBUG] 2020-10-06 17:06:47.476 [main] BasicTypeRegistry - Adding type registration Duration -> org.hibernate.type.DurationType@47c64cfe
[DEBUG] 2020-10-06 17:06:47.476 [main] BasicTypeRegistry - Adding type registration java.time.Duration -> org.hibernate.type.DurationType@47c64cfe
