[DEBUG] 2020-10-19 18:26:00.906 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cfg.beanvalidation.BeanValidationIntegrator].
[DEBUG] 2020-10-19 18:26:00.912 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.secure.spi.JaccIntegrator].
[DEBUG] 2020-10-19 18:26:00.922 [main] IntegratorServiceImpl - Adding Integrator [org.hibernate.cache.internal.CollectionCacheInvalidator].
[INFO ] 2020-10-19 18:26:01.084 [main] Version - HHH000412: Hibernate Core {5.4.4.Final}
[DEBUG] 2020-10-19 18:26:01.091 [main] Environment - HHH000206: hibernate.properties not found
[DEBUG] 2020-10-19 18:26:01.563 [main] LocalXmlResourceResolver - Interpreting public/system identifier : [-//Hibernate/Hibernate Configuration DTD//EN] - [http://www.hibernate.org/dtd/hibernate-configuration-3.0.dtd]
[DEBUG] 2020-10-19 18:26:01.565 [main] LocalXmlResourceResolver - Recognized hibernate-configuration identifier; attempting to resolve on classpath under org/hibernate/
[DEBUG] 2020-10-19 18:26:01.578 [main] JaxbCfgProcessor - cfg.xml document did not define namespaces; wrapping in custom event reader to introduce namespace information
[DEBUG] 2020-10-19 18:26:02.139 [main] ServiceBinding - Overriding existing service binding [org.hibernate.secure.spi.JaccService]
[DEBUG] 2020-10-19 18:26:02.191 [main] RegionFactoryInitiator - Cannot default RegionFactory based on registered strategies as `[]` RegionFactory strategies were registered
[DEBUG] 2020-10-19 18:26:02.194 [main] RegionFactoryInitiator - Cache region factory : org.hibernate.cache.internal.NoCachingRegionFactory
[INFO ] 2020-10-19 18:26:02.233 [main] Version - HCANN000001: Hibernate Commons Annotations {5.1.0.Final}
[DEBUG] 2020-10-19 18:26:02.292 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@39fa8ad2
[DEBUG] 2020-10-19 18:26:02.293 [main] BasicTypeRegistry - Adding type registration boolean -> org.hibernate.type.BooleanType@39fa8ad2
[DEBUG] 2020-10-19 18:26:02.293 [main] BasicTypeRegistry - Adding type registration java.lang.Boolean -> org.hibernate.type.BooleanType@39fa8ad2
[DEBUG] 2020-10-19 18:26:02.293 [main] BasicTypeRegistry - Adding type registration numeric_boolean -> org.hibernate.type.NumericBooleanType@6137cf6e
[DEBUG] 2020-10-19 18:26:02.294 [main] BasicTypeRegistry - Adding type registration true_false -> org.hibernate.type.TrueFalseType@33a3c44a
[DEBUG] 2020-10-19 18:26:02.298 [main] BasicTypeRegistry - Adding type registration yes_no -> org.hibernate.type.YesNoType@93f432e
[DEBUG] 2020-10-19 18:26:02.300 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@58cf8f94
[DEBUG] 2020-10-19 18:26:02.303 [main] BasicTypeRegistry - Adding type registration byte -> org.hibernate.type.ByteType@58cf8f94
[DEBUG] 2020-10-19 18:26:02.303 [main] BasicTypeRegistry - Adding type registration java.lang.Byte -> org.hibernate.type.ByteType@58cf8f94
[DEBUG] 2020-10-19 18:26:02.309 [main] BasicTypeRegistry - Adding type registration character -> org.hibernate.type.CharacterType@fabb651
[DEBUG] 2020-10-19 18:26:02.310 [main] BasicTypeRegistry - Adding type registration char -> org.hibernate.type.CharacterType@fabb651
[DEBUG] 2020-10-19 18:26:02.310 [main] BasicTypeRegistry - Adding type registration java.lang.Character -> org.hibernate.type.CharacterType@fabb651
[DEBUG] 2020-10-19 18:26:02.312 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3872bc37
[DEBUG] 2020-10-19 18:26:02.312 [main] BasicTypeRegistry - Adding type registration short -> org.hibernate.type.ShortType@3872bc37
[DEBUG] 2020-10-19 18:26:02.313 [main] BasicTypeRegistry - Adding type registration java.lang.Short -> org.hibernate.type.ShortType@3872bc37
[DEBUG] 2020-10-19 18:26:02.314 [main] BasicTypeRegistry - Adding type registration integer -> org.hibernate.type.IntegerType@6c518474
[DEBUG] 2020-10-19 18:26:02.314 [main] BasicTypeRegistry - Adding type registration int -> org.hibernate.type.IntegerType@6c518474
[DEBUG] 2020-10-19 18:26:02.314 [main] BasicTypeRegistry - Adding type registration java.lang.Integer -> org.hibernate.type.IntegerType@6c518474
[DEBUG] 2020-10-19 18:26:02.316 [main] BasicTypeRegistry - Adding type registration long -> org.hibernate.type.LongType@9e2ad91
